"","Ticker Symbol","For Year","Total Assets","Intangible Assets","Liabilities","Earnings Per Share","Total Revenue","Current Ratio","Quick Ratio","Profit Margin","Operating Margin","Total Liabilities","Total Equity","Retained Earnings","Gross Margin","Estimated Shares Outstanding","Book Value","Asset Turnover","Total Debt To Equity","date","open","close","low","high","volume","month","Name","Sector","Industry"
"1","AAL",2012,2.351e+10,8.69e+08,4.73e+08,-5.6,2.4855e+10,78,72,8,1,2.4891e+10,-7.987e+09,-9.462e+09,58,3.35e+08,2.2168e+10,1.05720969800085,-3.1164392137223,2012-04-02,7.59,7.47,7.41,7.71,7355100,"04","American Airlines Group, Inc.","Transportation","Air Freight/Delivery Services"
"2","AAL",2013,4.2278e+10,2.311e+09,-2.35e+08,-11.25,2.6743e+10,104,96,7,5,4.5009e+10,-2.731e+09,-1.1296e+10,59,163022222.222,4.0202e+10,0.632551208666446,-16.4807762724277,2013-04-01,17.02,16.67,16.540001,17.129999,5222300,"04","American Airlines Group, Inc.","Transportation","Air Freight/Delivery Services"
"3","AAL",2014,4.3225e+10,2.24e+09,-1.026e+09,4.02,4.265e+10,88,80,7,10,4.1204e+10,2.021e+09,-8.562e+09,63,716915422.886,4.2011e+10,0.986697513013302,20.3879267689263,2014-04-01,36.950001,37.939999,36.849998,38.189999,11064900,"04","American Airlines Group, Inc.","Transportation","Air Freight/Delivery Services"
"4","AAL",2015,4.8415e+10,2.249e+09,-6.33e+08,11.39,4.099e+10,73,67,19,15,4.278e+10,5.635e+09,-1.23e+09,73,668129938.543,4.6799e+10,0.846638438500465,7.59183673469388,2015-04-01,51.099998,50.439999,50.110001,51.380001,15191500,"04","American Airlines Group, Inc.","Transportation","Air Freight/Delivery Services"
"5","AAP",2012,4613814000,28845000,426323000,5.29,6205003000,124,34,6,11,3403120000,1210694000,714900000,50,73283553.8752,4158646000,1.34487497762155,2.81088367498311,2012-04-02,88.75,88.980003,88.07,89.769997,824000,"04","Advance Auto Parts Inc","Consumer Services","Other Specialty Stores"
"6","AAP",2013,5564774000,49872000,172715000,5.36,6493814000,144,52,6,10,4048569000,1516205000,1089112000,50,73089179.1045,5342187000,1.16695017623357,2.6701989506696,2013-04-01,82.540001,82.339996,81.660004,83.029999,749200,"04","Advance Auto Parts Inc","Consumer Services","Other Specialty Stores"
"7","AAP",2014,7962358000,748125000,194223000,6.75,9843861000,130,22,5,9,5959446000,2002912000,1565341000,45,73159259.2593,7020010000,1.23629972427766,2.97539083095014,2014-04-01,126.959999,127.25,126.599998,128.490005,775400,"04","Advance Auto Parts Inc","Consumer Services","Other Specialty Stores"
"8","AAP",2015,8134565000,687125000,174667000,6.45,9737018000,130,20,5,8,5673917000,2460648000,2021077000,45,73395038.7597,7272773000,1.19699307830228,2.3058629271639,2015-04-01,147.779999,143.75,143.449997,148.850006,2423300,"04","Advance Auto Parts Inc","Consumer Services","Other Specialty Stores"
"9","AAPL",2013,2.07e+11,4.179e+09,8.32e+09,40.03,1.7091e+11,168,164,22,29,8.3451e+10,1.23549e+11,1.04256e+11,38,925231076.692,1.94501e+11,0.825652173913043,0.675448607435107,2013-04-01,441.899994,428.910004,427.73999,443.700008,97433000,"04","Apple Inc.","Technology","Computer Manufacturing"
"10","AAPL",2014,2.31839e+11,4.142e+09,1.3408e+10,6.49,1.82795e+11,108,105,22,29,1.20292e+11,1.11547e+11,8.7152e+10,39,6087827426.81,2.14289e+11,0.788456644481731,1.07839744681614,2014-04-01,537.760025,541.649994,536.769989,541.870026,50190000,"04","Apple Inc.","Technology","Computer Manufacturing"
"11","AAPL",2015,2.90345e+11,3.893e+09,1.5188e+10,9.28,2.33715e+11,111,108,23,30,1.7099e+11,1.19355e+11,9.2284e+10,40,5753663793.1,2.71264e+11,0.804956172828876,1.43261698295002,2015-04-01,124.82,124.25,123.099998,125.120003,40621400,"04","Apple Inc.","Technology","Computer Manufacturing"
"12","ABBV",2013,2.9198e+10,1.89e+09,-4.26e+08,2.58,1.879e+10,259,243,22,30,2.4706e+10,4.492e+09,1.567e+09,76,1.6e+09,2.7734e+10,0.6435372285773,5.5,2013-04-01,39.959999,41.119999,39.959999,41.139999,5740000,"04","AbbVie Inc.","Health Care","Major Pharmaceuticals"
"13","ABBV",2014,2.7513e+10,1.513e+09,-1.93e+08,1.11,1.996e+10,141,131,9,17,2.5771e+10,1.742e+09,5.35e+08,78,1598198198.2,2.6193e+10,0.725475229891324,14.7939150401837,2014-04-01,51.619999,52.099998,51.540001,52.380001,4250800,"04","AbbVie Inc.","Health Care","Major Pharmaceuticals"
"14","ABBV",2015,5.305e+10,1.9709e+10,1.503e+09,3.15,2.2859e+10,150,134,23,33,4.9105e+10,3.945e+09,2.248e+09,80,1633015873.02,3.1838e+10,0.430895381715363,12.447401774398,2015-04-01,58.48,57.099998,56.330002,58.490002,14903300,"04","AbbVie Inc.","Health Care","Major Pharmaceuticals"
