Ticker Symbol,For Year,Total Assets,Intangible Assets,Liabilities,Earnings Per Share,Total Revenue,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Total Liabilities,Total Equity,Retained Earnings,Gross Margin,Estimated Shares Outstanding,Book Value,Asset Turnover,Total Debt To Equity,date,open,close,low,high,volume,month,Name,Sector,Industry
AAPL,2016,321686e6,3206e6,-1867e6,8.35,215639e6,135,133,21,28,193437e6,128249e6,96364e6,39,5471497005.99,320347e6,0.670340021014281,1.5082924623193943,2016,108.779999,109.989998,108.199997,110,25874e3,04,Apple Inc.,Technology,Computer Manufacturing
ABC,2016,336562e5,2967849e3,309434e4,6.73,146849686e3,90,48,1,1,31526796e3,2129404e3,2303941e3,3,212173699.851,27594011e3,4.363228350199964,14.80545542320762,2016,86.610001,86.510002,86,86.849998,2033e3,04,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals
ADI,2016,7970278e3,549368e3,101593e3,0.96,3421409e3,635,587,25,30,280466e4,5165618e3,4785799e3,65,897566666.667,7319317e3,0.42927097398610187,0.5429476202073015,2016,58.689999,58.98,58.549999,59.060001,1393600,04,"Analog Devices, Inc.",Technology,Semiconductors
ADSK,2016,55153e5,708e5,3854e5,-1.46,25041e5,188,188,13,0,38957e5,16196e5,-808e5,85,226369863.014,50591e5,0.45402788606240824,2.405346999259076,2016,56.57,57.77,55.34,57.84,3741e3,04,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
AMAT,2016,14588e6,575e6,847e6,1.56,10825e6,230,174,16,20,7371e6,7217e6,15252e6,42,1103205128.21,13166e6,0.7420482588428846,1.0213385063045586,2016,20.99,21.42,20.889999,21.42,11886700,04,"Applied Materials, Inc.",Technology,Semiconductors
APD,2016,180553e5,488e6,57e6,2.92,95244e5,131,113,7,22,109757e5,70796e5,104755e5,33,216130136.986,175103e5,0.5275126971027898,1.5503277021300639,2016,143.499991,145.309993,141.900001,145.539996,1440900,04,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals
AYI,2016,2948e6,3814e5,1259e5,6.67,32913e5,197,153,9,14,12882e5,16598e5,13609e5,44,43598200.8996,24407e5,1.1164518317503391,0.7761176045306664,2016,216.070007,223.339996,215.490005,223.869995,463e3,04,Acuity Brands Inc,Consumer Durables,Building Products
AZO,2016,8599787e3,0,32132e4,41.52,10635676e3,90,13,12,19,10387325e3,-1787538e3,-1602186e3,53,29889378.6127,8278467e3,1.236737142443179,-5.810967375239016,2016,793.969971,805.400024,791.919983,809.369995,290900,04,"AutoZone, Inc.",Consumer Services,Other Specialty Stores
BBY,2016,13519e6,18e6,-77e7,2.59,39528e6,143,70,2,3,9141e6,4378e6,413e7,23,346332046.332,14271e6,2.9238849027294918,2.0879396984924625,2016,32.169998,32.119999,31.6,32.380001,4084300,04,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains
BDX,2016,25586e6,6351e6,336e6,4.59,12483e6,145,106,8,11,17953e6,7633e6,12727e6,48,212636165.577,18899e6,0.48788399906198704,2.352024105856151,2016,151.240005,153.490005,150.710007,153.75,882200,04,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments
CAG,2016,133906e5,12768e5,324e5,-1.57,116429e5,141,79,6,8,9677e6,37136e5,32183e5,27,431210191.083,120814e5,0.8694830702134333,2.6058272296423954,2016,44.329999,45.759997,44.210001,45.84,5049400,04,"ConAgra Brands, Inc.",Consumer Non-Durables,Packaged Foods
CAH,2016,34122e6,9426e6,2668e6,4.36,121546e6,111,58,1,2,27568e6,6554e6,6419e6,5,327293577.982,22028e6,3.562100697497216,4.206286237412267,2016,81.68,82.160004,81.330002,82.279999,1765700,04,"Cardinal Health, Inc.",Health Care,Other Pharmaceuticals
CLX,2016,4518e6,735e6,-5e6,5.01,5761e6,95,67,11,18,4221e6,297e6,2163e6,45,129341317.365,3788e6,1.2751217352810977,14.212121212121213,2016,124.75,127.379997,124.279999,127.5,1196500,04,Clorox Company (The),Consumer Durables,Specialty Chemicals
COL,2016,7707e6,667e6,-11e6,5.58,5259e6,149,66,14,19,5629e6,2078e6,3327e6,31,130465949.821,7051e6,0.682366679641884,2.708854667949952,2016,91.800003,92.790001,91.110001,92.860001,729700,04,"Rockwell Collins, Inc.",Capital Goods,Military/Government/Technical
COO,2016,4475918e3,441086e3,-4794e3,5.65,1966814e3,174,96,14,16,1776051e3,2699867e3,2050443e3,60,48480884.9558,4039626e3,0.43942136562823536,0.6578290708394154,2016,153.570007,157.600006,152.5,158.649994,606600,04,"Cooper Companies, Inc. (The)",Health Care,Ophthalmic Goods
COST,2016,33163e6,0,-1532e6,5.36,118719e6,98,40,2,3,21084e6,12079e6,7686e6,13,438432835.821,34695e6,3.5798631004432653,1.7455087341667357,2016,157.869995,158.25,157,159.089996,1531500,04,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores
CPB,2016,7837e6,1152e6,-15e6,1.82,7961e6,75,38,7,12,6312e6,1525e6,1927e6,35,309340659.341,67e8,1.0158223810131428,4.139016393442623,2016,63.400002,65.160004,63.400002,65.220001,1971100,04,Campbell Soup Company,Consumer Non-Durables,Packaged Foods
CRM,2016,12770772e3,384258e3,1223672e3,-0.07,6667216e3,77,77,1,2,7767903e3,5002869e3,-653271e3,75,677514285.714,11162842e3,0.522068360471865,1.5526896666692651,2016,73.379997,75.730003,73.110001,75.949997,4550600,04,Salesforce.com Inc,Technology,Computer Software: Prepackaged Software
CSCO,2016,121652e6,2501e6,148e6,2.13,49247e6,316,311,22,26,58066e6,63586e6,19396e6,63,5041784037.56,119003e6,0.40481866307171277,0.9131884377064133,2016,28.299999,28.690001,28.120001,28.700001,23026400,04,"Cisco Systems, Inc.",Technology,Computer Communications Equipment
CSRA,2016,48463e5,910836e3,-60266e3,0.54,4250447e3,93,93,2,4,4781754e3,64546e3,-73901e3,16,190596296.296,399573e4,0.8770499143676619,74.08288662349332,2016,26.559999,27.27,26.450001,27.360001,1276600,04,CSRA Inc.,Technology,EDP Services
CTAS,2016,4104393e3,83715e3,35662e3,6.3,4905458e3,195,164,14,16,2261734e3,1842659e3,4805867e3,43,110082539.683,3985016e3,1.1951725870305305,1.2274294918376107,2016,89.190002,90.07,89.040001,90.169998,549900,04,Cintas Corporation,Consumer Non-Durables,Apparel
DE,2016,579814e5,1041e5,85e6,0.91,26644e6,211,194,6,11,514614e5,652e7,239113e5,32,1674615384.62,577923e5,0.4595266757960311,7.892852760736196,2016,76.260002,76.5,74.910004,76.589996,6396600,04,Deere & Company,Capital Goods,Industrial Machinery/Components
DHI,2016,115589e5,0,521e5,2.39,121574e5,NA,NA,7,13,47664e5,67925e5,40572e5,22,370836820.084,115068e5,1.0517782834006697,0.7017151269782849,2016,30.040001,30.4,29.959999,30.48,3148100,04,"D.R. Horton, Inc.",Capital Goods,Homebuilding
DIS,2016,92033e6,6949e6,-558e6,5.76,55632e6,101,92,17,26,48768e6,43265e6,66088e6,46,1630381944.44,85642e6,0.6044788282463899,1.1271928810817058,2016,98.800003,99.07,98.580002,99.339996,5895500,04,Walt Disney Company (The),Consumer Services,Television Services
DRI,2016,45826e5,5746e5,436e5,2.94,69335e5,69,54,5,9,26306e5,1952e6,5475e5,22,127551020.408,39644e5,1.5130057172784008,1.3476434426229509,2016,66.160004,67.040001,66.160004,67.360001,1721200,04,"Darden Restaurants, Inc.",Consumer Services,Restaurants
EA,2016,705e7,57e6,-64e6,3.73,4396e6,180,179,26,20,3654e6,3396e6,206e7,69,309919571.046,7057e6,0.6235460992907801,1.0759717314487633,2016,65.360001,65.919998,65.129997,66.120003,2160500,04,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software
EL,2016,92233e5,3445e5,3869e5,3.01,112623e5,158,110,10,14,5636e6,35719e5,76933e5,81,370299003.322,84919e5,1.2210705495863736,1.5778717209328368,2016,93.879997,95.650002,93.639999,95.730003,1132100,04,"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,Package Goods/Cosmetics
EMR,2016,21743e6,902e6,-123e6,2.53,14522e6,124,109,11,17,14175e6,7568e6,21716e6,43,657707509.881,20964e6,0.6678931150255255,1.8730179704016914,2016,53.110001,54.75,53.029999,54.779999,3539400,04,Emerson Electric Company,Energy,Consumer Electronics/Appliances
