ticker,current_price,future_price
AAPL,7.770221861,10.16022185
ABC,2.836619068,8.659124959
ADI,4.254944139,2.490549872
ADSK,7.689458921,5.507093594
AMAT,7.864777979,8.498776041
APD,7.849224011,6.625243286
AYI,0.5509928699,8.037767142
AZO,4.6430087,2.303273398
BBY,10.48319386,6.218171529
BDX,5.993644374,7.717930306
CAG,2.151455893,6.78178702
CAH,8.41589103,8.622659673
CLX,3.368806733,7.162436906
COL,10.29465434,3.981397271
COO,8.720740627,4.881237037
COST,0.6637633451,10.09382696
CPB,8.700748818,9.629932119
CRM,5.554196622,2.949993137
CSCO,1.163693407,4.774088497
CSRA,7.405411838,6.226717544
CTAS,4.204958581,9.733619385
DE,3.654912022,3.781324698
DHI,5.252611703,10.59625513
DIS,3.705997535,10.26234972
DRI,3.040829556,2.533193083
EA,6.085774854,6.201435319
EL,1.403774905,2.793013192
EMR,2.586487537,10.31498494
FDX,11.81522845,3.596705156
FFIV,4.128821429,9.770061049
GIS,-9.29E-04,8.904860838
GPN,5.333777197,10.59568403
HAR,2.171325127,2.959578491
HOLX,6.059539242,6.543696731
HP,-0.3768615982,0.7322373372
HPE,7.849144434,9.758168828
HPQ,7.294178605,-0.8944022959
HRB,2.945944218,3.468157951
HRL,3.354256277,10.12690975
HRS,3.814622032,6.147594331
INTU,-0.2012220507,3.082940534
JEC,10.03697217,4.524045365
KLAC,7.107774745,0.1076480451
KMX,1.915891899,9.777268058
KORS,1.495619642,4.950624761
LLTC,5.037415186,8.903775938
LRCX,4.867911963,9.233476374
MCHP,2.476787424,7.73566409
MCK,3.78296979,11.09221081
MON,7.716397796,6.354373322
MSFT,10.38566789,4.666208635
MU,3.648487126,4.817544037
NKE,1.478203907,3.440029402
NTAP,2.931868799,8.786147216
NVDA,4.428365903,-0.1307066939
NWSA,1.825981766,6.384761086
PAYX,10.51566773,5.785656272
PDCO,4.765634723,2.616796373
PH,0.3414965742,3.042904231
QCOM,4.250236604,5.856116592
QRVO,9.728236285,6.854922004
RHT,3.947951996,9.961358041
RL,5.79841757,7.355698536
ROK,9.533883904,6.384985274
SBUX,9.730648605,7.453150299
SIG,4.609034592,2.989354069
SJM,5.348707012,2.623709243
STX,1.977235299,10.24111624
STZ,3.244225851,6.052264709
SWKS,5.057628292,4.767977808
SYMC,9.270782723,1.917327778
SYY,4.998068909,1.105224591
TDG,10.25848166,2.311834055
TEL,9.248863689,4.001516077
TJX,6.61936295,-0.1072413976
TSN,12.04996069,8.857418958
URBN,2.01687283,2.126075728
V,1.973282536,3.801631599
VAR,4.703607779,6.154615944
VIAB,6.028614771,0.1983991309
WDC,3.903843758,5.954818807
WFM,6.049050451,0.9617592481
WMT,2.801504143,5.559533114
WRK,9.190018999,6.116319397
XLNX,4.2977059,8.077140408
